fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
12107,74521,17675,0.237181465627139,0.068,10,38.94,102.2
12109,264672,54654,0.206497098295248,0.047,47,133.58,316.4
12111,328297,80928,0.24650849687935,0.077,69,109.77,485.7
12113,184313,30121,0.16342309006961,0.047,16,117.1,149.6
12115,433742,161948,0.373374033411567,0.017,118,151.29,682.6
12117,471826,75401,0.159806793182232,0.037,38,161.65,1367.0
12119,132420,77034,0.581739918441323,0.037,0,51.03,170.8
12121,44417,9650,0.217259157529775,0.105,0,23.26,60.3
12123,21569,4525,0.209791830868376,0.103,6,10.23,21.6
12125,15237,2317,0.152064054603925,0.044,0,6.48,63.8
12127,553284,137811,0.249078231071204,0.035,148,182.52,449.2
12129,33739,5366,0.159044429295474,0.032,0,14.48,50.8
12131,74071,14977,0.202197891212485,0.092,28,37.94,53.0
12133,25473,4380,0.171946767165234,0.138,0,14.03,42.7
13001,18386,3257,0.177145654302186,0.085,3,10.94,36.0
13003,8165,1183,0.144886711573791,0.059,0,5.45,24.7
13005,11164,1878,0.168219276245073,0.071,4,8.23,42.9
13007,3038,719,0.236668861092824,0.027,0,1.23,10.1
13009,44890,7398,0.164802851414569,0.02,12,17.0,177.3
13011,19234,3411,0.177342206509306,0.136,0,14.29,79.3
13013,83240,10604,0.127390677558866,0.063,6,56.9,432.7
13015,107738,15539,0.144229519760901,0.215,21,85.65,217.9
13017,16700,2990,0.179041916167665,0.129,5,14.9,70.5
13019,19397,3342,0.172294684745064,0.073,0,12.45,42.7
13021,153159,24507,0.160010185493507,0.043,117,76.55,622.8
13023,12873,2206,0.17136642585256,0.089,0,9.58,60.5
13025,19109,3283,0.171803862054529,0.047,0,7.9,41.6
13027,15457,3085,0.199585948114123,0.092,0,9.94,32.9
13029,39627,4237,0.106922048098519,0.033,0,14.23,69.3
13031,79608,9268,0.116420460255251,0.053,24,20.68,104.4
13033,22383,3575,0.159719429924496,0.105,0,10.1,28.2
13035,24936,3942,0.158084696823869,0.125,0,19.35,128.3
13037,6189,1025,0.16561641622233,0.013,0,2.03,23.9
13039,54666,7776,0.142245637141916,0.136,5,20.29,82.4
13043,10803,2010,0.186059427936684,0.037,6,2.16,45.3
13045,119992,16597,0.138317554503634,0.089,18,62.03,221.5
13047,67580,12291,0.181873335306304,0.143,0,41.45,394.3
13049,13392,2112,0.157706093189964,0.065,0,7.23,15.7
13051,289430,46192,0.159596448191272,0.035,78,85.13,621.7
13053,10907,530,0.0485926469239938,0.061,0,5.84,45.3
13055,24789,4369,0.176247529145992,0.116,0,17.71,83.0
13057,258773,37583,0.145235399365467,0.049,15,181.74,508.3
13059,128331,14512,0.113082575527347,0.054,104,66.13,979.1
13061,2834,775,0.273465067043049,0.028,0,0.87,16.3
13063,292256,28167,0.0963778331325961,0.038,34,123.13,1832.5
13065,6618,1110,0.167724388032638,0.06,0,3.68,8.5
13067,760141,96593,0.127072477343019,0.039,119,445.65,2026.4
13069,43273,6090,0.140734407136089,0.085,10,35.0,73.7
13071,45600,7332,0.160789473684211,0.108,10,17.68,83.6
13073,156714,21897,0.139725870056281,0.061,0,110.61,427.6
13075,17270,2893,0.167515923566879,0.098,0,11.32,75.8
13077,148509,21189,0.142678221521928,0.105,19,89.84,288.8
13079,12404,2411,0.194372782973234,0.057,0,5.29,38.9
13081,22372,4309,0.192606829966029,0.119,16,14.32,86.0
13083,16116,3240,0.201042442293373,0.128,0,9.55,95.6
13085,26108,5278,0.20216025739237,0.049,0,19.81,105.9
13087,26404,4397,0.166527798818361,0.093,10,12.94,46.6
13089,759297,97926,0.128969296599354,0.036,168,333.0,2585.7
13091,20605,3840,0.186362533365688,0.145,6,11.55,44.0
13093,13390,2824,0.210903659447349,0.077,0,5.81,38.1
13095,87956,14508,0.164946109418346,0.033,50,31.58,287.7
13097,146343,17366,0.11866642066925,0.083,8,78.58,661.8
13099,10190,1965,0.192836113837095,0.045,0,3.61,21.5
13101,4006,553,0.138042935596605,0.097,0,3.03,9.7
13103,64296,7632,0.118701007838746,0.044,0,14.94,109.4
13105,19194,4087,0.21293112430968,0.132,4,13.45,57.4
13107,22646,3729,0.164664841473108,0.062,8,13.23,33.2
13109,10654,1737,0.163037356861273,0.03,0,3.39,60.2
13111,26188,8017,0.306132579807545,0.075,5,10.45,61.2
13113,114421,21440,0.187378191066325,0.06,37,47.42,548.3
13115,98498,16779,0.170348636520538,0.186,65,66.0,188.9
13117,244252,30187,0.123589571426232,0.035,24,122.26,783.5
13119,23349,4477,0.191742687052979,0.168,8,17.81,84.5
13121,1063937,127765,0.120086997632379,0.026,538,502.13,1748.0
13123,31369,8011,0.255379514807613,0.128,0,16.87,66.3
13125,2971,544,0.183103332211377,0.156,0,3.13,21.4
